N,rep_num,ratio,NewCol
20,5,0.5,11
20,6,0.5,11
20,7,0.5,12
20,8,0.5,11
20,9,0.5,6
20,10,0.5,11
20,11,0.5,15
20,12,0.5,10
20,13,0.5,6
20,14,0.5,8
20,15,0.5,10
20,16,0.5,9
20,17,0.5,7
20,18,0.5,8
20,19,0.5,6
20,20,0.5,9
20,21,0.5,11
20,22,0.5,12
20,23,0.5,11
20,24,0.5,8
20,25,0.5,10
20,26,0.5,12
20,27,0.5,11
20,28,0.5,12
20,29,0.5,6
20,30,0.5,14
20,31,0.5,14
20,32,0.5,8
20,33,0.5,7
20,34,0.5,14
20,35,0.5,9
20,36,0.5,11
20,37,0.5,9
20,38,0.5,11
20,39,0.5,12
20,40,0.5,8
20,41,0.5,10
20,42,0.5,10
20,43,0.5,11
20,44,0.5,8
20,45,0.5,12
20,46,0.5,9
20,47,0.5,9
20,48,0.5,10
20,49,0.5,8
20,50,0.5,11
20,51,0.5,10
20,52,0.5,8
20,53,0.5,10
20,54,0.5,8
20,55,0.5,6
20,56,0.5,6
20,57,0.5,5
20,58,0.5,9
20,59,0.5,10
20,60,0.5,9
20,61,0.5,13
20,62,0.5,12
20,63,0.5,9
20,64,0.5,9
20,65,0.5,9
20,66,0.5,10
20,67,0.5,15
20,68,0.5,13
20,69,0.5,8
20,70,0.5,10
20,71,0.5,10
20,72,0.5,10
20,73,0.5,13
20,74,0.5,9
20,75,0.5,11
20,76,0.5,11
20,77,0.5,9
20,78,0.5,8
20,79,0.5,12
20,80,0.5,10
20,81,0.5,9
20,82,0.5,8
20,83,0.5,8
20,84,0.5,7
20,85,0.5,8
20,86,0.5,12
20,87,0.5,13
20,88,0.5,11
20,89,0.5,10
20,90,0.5,7
20,91,0.5,11
20,92,0.5,8
20,93,0.5,9
20,94,0.5,9
20,95,0.5,11
20,96,0.5,7
20,97,0.5,10
20,98,0.5,7
20,99,0.5,6
20,100,0.5,12
30,1,0.5,13
30,2,0.5,15
30,3,0.5,17
30,4,0.5,13
30,5,0.5,14
30,6,0.5,13
30,7,0.5,16
30,8,0.5,14
30,9,0.5,11
30,10,0.5,11
30,11,0.5,10
30,12,0.5,16
30,13,0.5,12
30,14,0.5,12
30,15,0.5,16
30,16,0.5,16
30,17,0.5,12
30,18,0.5,15
30,19,0.5,18
30,20,0.5,14
30,21,0.5,19
30,22,0.5,16
30,23,0.5,17
30,24,0.5,17
30,25,0.5,14
30,26,0.5,17
30,27,0.5,16
30,28,0.5,16
30,29,0.5,17
30,30,0.5,18
30,31,0.5,15
30,32,0.5,20
30,33,0.5,10
30,34,0.5,17
30,35,0.5,16
30,36,0.5,16
30,37,0.5,15
30,38,0.5,18
30,39,0.5,11
30,40,0.5,18
30,41,0.5,14
30,42,0.5,13
30,43,0.5,18
30,44,0.5,18
30,45,0.5,16
