species.name,longitude,latitude
Onthophagus taurus,-4.9572,32.8838
Onthophagus taurus,-4.124091,40.598465
Onthophagus taurus,-1.5018,43.55566
Onthophagus taurus,1.46748,45.09178
Onthophagus taurus,1.53078,45.10168
Onthophagus taurus,-3.528261,39.972088
Onthophagus taurus,-7.985828,41.320053
Onthophagus taurus,-7.991363,40.959797
Onthophagus taurus,-8.116159,40.510403
Onthophagus taurus,-8.475122,39.881939
Onthophagus taurus,-8.36151,39.520966
Onthophagus taurus,-8.599313,38.620922
Onthophagus taurus,-8.145181,38.167889
Onthophagus taurus,-7.113491,38.336102
Onthophagus taurus,-6.424354,38.413052
Onthophagus taurus,-7.292478,40.411079
Onthophagus taurus,-7.537816,39.964001
Onthophagus taurus,-7.551041,39.333488
Onthophagus taurus,0.27917,44.37995
Onthophagus taurus,0.22658,44.32449
Onthophagus taurus,-0.00957,47.85678
Onthophagus taurus,1.24036,45.60484
Onthophagus taurus,1.10536,46.0405
Onthophagus taurus,4.29731,43.47631
Onthophagus taurus,4.11449,44.38836
Onthophagus taurus,-1.97993,46.74523
Onthophagus taurus,0.501578,42.558346
Onthophagus taurus,6.1134,45.06076
Onthophagus taurus,-1.62103,43.29537
Onthophagus taurus,6.5938,44.053
Onthophagus taurus,6.523,43.9022
Onthophagus taurus,6.525,43.9003
Onthophagus taurus,23.0052,52.43
Onthophagus taurus,-4.354966,40.325733
Onthophagus taurus,-4.47264,40.324291
Onthophagus taurus,-4.588196,40.232677
Onthophagus taurus,-0.647286,38.598015
Onthophagus taurus,1.844425,42.399651
Onthophagus taurus,-1.68524,43.3334
Onthophagus taurus,6.29897,44.37131
Onthophagus taurus,6.07872,44.27929
Onthophagus taurus,6.72563,44.0199
Onthophagus taurus,6.72653,43.965
Onthophagus taurus,6.81203,44.0253
Onthophagus taurus,6.70313,43.9722
Onthophagus taurus,6.61,43.7976
Onthophagus taurus,6.69955,44.0289
Onthophagus taurus,6.74633,44.2053
Onthophagus taurus,6.74993,44.0901
Onthophagus taurus,6.80213,44.0901
Onthophagus taurus,6.75713,44.1594
Onthophagus taurus,6.76301,44.22154
Onthophagus taurus,-3.738774,37.718105
Onthophagus taurus,-3.628375,38.079258
Onthophagus taurus,-3.516908,38.440292
Onthophagus taurus,-0.874129,38.692459
Onthophagus taurus,-3.520158,38.890862
Onthophagus taurus,-0.07208,38.879028
Onthophagus taurus,-0.91216,38.520901
Onthophagus taurus,-0.66386,38.65181
Onthophagus taurus,6.38972,43.794
Onthophagus taurus,6.50963,44.0883
Onthophagus taurus,6.50833,43.8669
Onthophagus taurus,6.57848,44.0775
Onthophagus taurus,22.4375,52.4358
Onthophagus taurus,-5.035174,43.287819
Onthophagus taurus,-4.911983,43.289944
Onthophagus taurus,-1.84371,49.62181
Onthophagus taurus,-2.3863,34.2357
Onthophagus taurus,9.55833,39.1917
Onthophagus taurus,36.147,36.14
Onthophagus taurus,0.74124,48.04892
Onthophagus taurus,0.29659,47.97971
Onthophagus taurus,7.26167,47.94583
Onthophagus taurus,0.38264,48.02659
Onthophagus taurus,6.23722,43.8183
Onthophagus taurus,0.1957,47.9819
Onthophagus taurus,0.02194,48.2836
Onthophagus taurus,0.62675,47.98303
Onthophagus taurus,0.04235,48.157
Onthophagus taurus,0.50305,47.99604
Onthophagus taurus,-0.08928,48.35426
Onthophagus taurus,0.36402,47.92514
Onthophagus taurus,0.07849,47.96404
Onthophagus taurus,-0.53,38.68
Onthophagus taurus,-7.214061,43.291912
Onthophagus taurus,-6.860199,42.835613
